sku;activite;attribute_set;categories;code_article;code_coloris;code_douane;coloris_groupe;composition;composition_description;configurable_attributes;cost;country_of_manufacture;description;entretien_blanchiment;entretien_lavage;entretien_nettoyage_aeau;entretien_nettoyage_asec;entretien_repassage;entretien_sechage_naturel;entretien_sechage_tambour;forme;image1;image2;imaged1;imaged2;imaged4;imaged5;libelle_coloris;ligne_de_produit;marque;msrp;name;options_container;price;reseau;saison;short_description;simple_skus;taille;tax_class_id;theme;top_produit;type;visibility;weight
3253535475899;ACC;"Produit Orli avec Forme";;TBOISRKF;064;;;"Divers autres fibres";"100% Divers autres fibres";;;IN;"Tee en bois pour ballon de rugby taille 5";NA;NA;NA;NA;NA;NA;NA;000;595b479e5979d-00p_tboisrkf_064-image1---1499154334-00P_TBOISRKF_064.jpg;;;;;;Bois;901;RKF;10,00;"Tee en Bois";;10,00;U;21H;"Tee en bois Ruckfield pour ballon de rugby taille 5";;TU;"Taxable Goods";669;0;simple;1;0,4000
00P_TBOISRKF_064;ACC;"Produit Orli avec Forme";"Root Catalog/Default Category/Homme;;Root Catalog/Default Category/Homme/Accessoires;;Root Catalog/Default Category/Homme/Accessoires/Ballon de rugby";TBOISRKF;064;;;"Divers autres fibres";"100% Divers autres fibres";taille;;IN;"Tee en bois pour ballon de rugby taille 5";NA;NA;NA;NA;NA;NA;NA;000;595b479e5979d-00p_tboisrkf_064-image1---1499154334-00P_TBOISRKF_064.jpg;;;;;;Bois;901;RKF;10,00;"Tee en Bois";container1;10,00;U;21H;"Tee en bois Ruckfield pour ballon de rugby taille 5";3253535475899;;"Taxable Goods";669;0;configurable;4;0,4000
3253538585526;ACC;"Produit Orli avec Forme";;H0004183;001;;;Coton;"100% Coton";;;CN;"Craquez pour cette superbe casquette blanche Ruckfield. Habilement ornée du logo Sébastien Chabal à l'avant et broderie de la marque à l'arrière, cette casquette au style épuré et 100% coton complètera adroitement votre coiffe.<br /><br />Modèle disponible en différents coloris.";;;;;;;;000;5a60a75e4f5d0-18e_h0004183_001-image1---1516283742-18E_H0004183_001_face.jpg;;;;;;Blanc;211;RKF;29,90;"Casquette Blanche Chabal by Ruckfield";;29,90;H;21H;"Casquette blanche Ruckfield avec logo Sébastien Chabal";;TU;"Taxable Goods";669;0;simple;1;0,4000
18E_H0004183_001;ACC;"Produit Orli avec Forme";"Root Catalog/Default Category/Homme;;Root Catalog/Default Category/Homme/Accessoires;;Root Catalog/Default Category/Nouvelle collection;;Root Catalog/Default Category/Homme/Accessoires/Casquette;;Root Catalog/Default Category/Homme/Accessoires/Idées Cadeaux";H0004183;001;;;Coton;"100% Coton";taille;;CN;"Craquez pour cette superbe casquette blanche Ruckfield. Habilement ornée du logo Sébastien Chabal à l'avant et broderie de la marque à l'arrière, cette casquette au style épuré et 100% coton complètera adroitement votre coiffe.<br /><br />Modèle disponible en différents coloris.";;;;;;;;000;5a60a75e4f5d0-18e_h0004183_001-image1---1516283742-18E_H0004183_001_face.jpg;;;;;;Blanc;211;RKF;29,90;"Casquette Blanche Chabal by Ruckfield";container1;29,90;H;21H;"Casquette blanche Ruckfield avec logo Sébastien Chabal";3253538585526;;"Taxable Goods";669;0;configurable;4;0,4000
3253538585533;ACC;"Produit Orli avec Forme";;H0004183;012;;;Coton;"100% Coton";;;CN;"Craquez pour cette superbe casquette bleu ciel Ruckfield. Habilement ornée du logo Sébastien Chabal à l'avant et broderie de la marque à l'arrière, cette casquette au style épuré et 100% coton complètera adroitement votre coiffe.<br /><br />Modèle disponible en différents coloris.";;;;;;;;000;5a60a769a7afa-18e_h0004183_012-image1---1516283753-18E_H0004183_012_face.jpg;5a60a769a9827-18e_h0004183_012-image2---1516283753-18E_H0004183_012_dos.jpg;;;;;"Bleu clair";211;RKF;29,90;"Casquette Bleu Ciel Chabal by Ruckfield";;29,90;H;21H;"Casquette bleu ciel Ruckfield avec logo Sébastien Chabal";;TU;"Taxable Goods";669;0;simple;1;0,4000
18E_H0004183_012;ACC;"Produit Orli avec Forme";"Root Catalog/Default Category/Homme;;Root Catalog/Default Category/Homme/Accessoires;;Root Catalog/Default Category/Nouvelle collection;;Root Catalog/Default Category/Homme/Accessoires/Casquette;;Root Catalog/Default Category/Homme/Accessoires/Idées Cadeaux";H0004183;012;;;Coton;"100% Coton";taille;;CN;"Craquez pour cette superbe casquette bleu ciel Ruckfield. Habilement ornée du logo Sébastien Chabal à l'avant et broderie de la marque à l'arrière, cette casquette au style épuré et 100% coton complètera adroitement votre coiffe.<br /><br />Modèle disponible en différents coloris.";;;;;;;;000;5a60a769a7afa-18e_h0004183_012-image1---1516283753-18E_H0004183_012_face.jpg;5a60a769a9827-18e_h0004183_012-image2---1516283753-18E_H0004183_012_dos.jpg;;;;;"Bleu clair";211;RKF;29,90;"Casquette Bleu Ciel Chabal by Ruckfield";container1;29,90;H;21H;"Casquette bleu ciel Ruckfield avec logo Sébastien Chabal";3253538585533;;"Taxable Goods";669;0;configurable;4;0,4000
3253538585540;ACC;"Produit Orli avec Forme";;H0004183;018;;;Coton;"100% Coton";;;CN;"Craquez pour cette superbe casquette bleu marine Ruckfield. Habilement ornée du logo Sébastien Chabal à l'avant et broderie de la marque à l'arrière, cette casquette au style épuré et 100% coton complètera adroitement votre coiffe.<br /><br />Modèle disponible en différents coloris.";;;;;;;;000;5a60a7761e7e3-18e_h0004183_018-image1---1516283766-18E_H0004183_018_face.jpg;5a60a7762248a-18e_h0004183_018-image2---1516283766-18E_H0004183_018_dos.jpg;;;;;"Bleu marine";211;RKF;29,90;"Casquette Bleu Marine Chabal by Ruckfield";;29,90;H;21H;"Casquette bleu marine Ruckfield avec logo Sébastien Chabal";;TU;"Taxable Goods";669;0;simple;1;0,4000
18E_H0004183_018;ACC;"Produit Orli avec Forme";"Root Catalog/Default Category/Homme;;Root Catalog/Default Category/Homme/Accessoires;;Root Catalog/Default Category/Nouvelle collection;;Root Catalog/Default Category/Homme/Accessoires/Casquette;;Root Catalog/Default Category/Homme/Accessoires/Idées Cadeaux";H0004183;018;;;Coton;"100% Coton";taille;;CN;"Craquez pour cette superbe casquette bleu marine Ruckfield. Habilement ornée du logo Sébastien Chabal à l'avant et broderie de la marque à l'arrière, cette casquette au style épuré et 100% coton complètera adroitement votre coiffe.<br /><br />Modèle disponible en différents coloris.";;;;;;;;000;5a60a7761e7e3-18e_h0004183_018-image1---1516283766-18E_H0004183_018_face.jpg;5a60a7762248a-18e_h0004183_018-image2---1516283766-18E_H0004183_018_dos.jpg;;;;;"Bleu marine";211;RKF;29,90;"Casquette Bleu Marine Chabal by Ruckfield";container1;29,90;H;21H;"Casquette bleu marine Ruckfield avec logo Sébastien Chabal";3253538585540;;"Taxable Goods";669;0;configurable;4;0,4000
3253538585557;ACC;"Produit Orli avec Forme";;H0004183;042;;;Coton;"100% Coton";;;CN;"Craquez pour cette superbe casquette rose Ruckfield. Habilement ornée du logo Sébastien Chabal à l'avant et broderie de la marque à l'arrière, cette casquette au style épuré et 100% coton complètera adroitement votre coiffe.<br /><br />Modèle disponible en différents coloris.";;;;;;;;000;5a60a780ded8e-18e_h0004183_042-image1---1516283776-18E_H0004183_042_face.jpg;5a60a780e09bd-18e_h0004183_042-image2---1516283776-18E_H0004183_042_dos.jpg;;;;;"Rose clair";211;RKF;29,90;"Casquette Rose Chabal by Ruckfield";;29,90;H;21H;"Casquette rose Ruckfield avec logo Sébastien Chabal";;TU;"Taxable Goods";669;0;simple;1;0,4000
18E_H0004183_042;ACC;"Produit Orli avec Forme";"Root Catalog/Default Category/Homme;;Root Catalog/Default Category/Homme/Accessoires;;Root Catalog/Default Category/Nouvelle collection;;Root Catalog/Default Category/Homme/Accessoires/Casquette;;Root Catalog/Default Category/Homme/Accessoires/Idées Cadeaux";H0004183;042;;;Coton;"100% Coton";taille;;CN;"Craquez pour cette superbe casquette rose Ruckfield. Habilement ornée du logo Sébastien Chabal à l'avant et broderie de la marque à l'arrière, cette casquette au style épuré et 100% coton complètera adroitement votre coiffe.<br /><br />Modèle disponible en différents coloris.";;;;;;;;000;5a60a780ded8e-18e_h0004183_042-image1---1516283776-18E_H0004183_042_face.jpg;5a60a780e09bd-18e_h0004183_042-image2---1516283776-18E_H0004183_042_dos.jpg;;;;;"Rose clair";211;RKF;29,90;"Casquette Rose Chabal by Ruckfield";container1;29,90;H;21H;"Casquette rose Ruckfield avec logo Sébastien Chabal";3253538585557;;"Taxable Goods";669;0;configurable;4;0,4000
